,reviewId,itemId,userId,rating,testimony_class
0,2314,7,1777,5,2.0
1,5032,27,433,5,2.0
2,4735,22,1052,5,2.0
3,3097,11,3479,3,2.0
4,1469,20,291,5,2.0
5,4511,1,3635,5,2.0
6,5066,33,73,5,2.0
7,1176,20,3254,5,2.0
8,2297,6,2253,4,2.0
9,2494,6,9,5,2.0
10,1868,4,393,5,2.0
11,2482,16,1120,5,2.0
12,2964,4,2700,5,2.0
13,1545,3,583,5,3.0
14,1544,3,2677,5,2.0
15,2002,4,3124,5,2.0
16,2789,16,3548,5,2.0
17,4709,22,1246,4,2.0
18,3791,5,882,5,2.0
19,1162,20,1732,4,2.0
20,5028,26,429,1,2.0
21,1312,20,877,5,1.0
22,4331,1,2739,5,2.0
23,3697,5,2609,5,2.0
24,3434,5,389,4,2.0
25,4761,22,1443,1,1.0
26,2857,7,2437,5,2.0
27,2046,16,1413,4,2.0
28,733,23,3687,4,3.0
29,4360,1,2437,4,2.0
30,2249,9,1251,4,1.0
31,5125,40,1000,5,3.0
32,1953,16,3423,5,2.0
33,3162,11,226,4,2.0
34,2970,16,2093,4,2.0
35,3186,11,187,5,2.0
36,3850,5,1748,4,2.0
37,4670,1,3751,5,2.0
38,4582,1,2773,5,2.0
39,1538,3,2898,5,2.0
40,929,23,1735,5,2.0
41,3571,5,2582,5,2.0
42,4672,1,2592,5,2.0
43,2585,4,3803,5,2.0
44,1127,20,1921,4,2.0
45,2700,4,2191,4,2.0
46,3264,8,696,5,2.0
47,5041,29,442,4,2.0
48,2470,4,2841,5,2.0
49,2969,7,804,5,2.0
50,238,23,3138,3,2.0
51,5003,24,404,5,3.0
52,1551,3,3363,5,2.0
53,3009,11,2469,5,3.0
54,431,23,1241,5,2.0
55,2613,16,1573,5,2.0
56,3664,5,510,5,2.0
57,634,23,3785,4,2.0
58,4809,15,1994,5,3.0
59,377,23,2463,5,2.0
60,2185,10,2591,5,2.0
61,2087,16,3037,3,1.0
62,4132,5,3305,4,2.0
63,2295,4,3074,1,1.0
64,849,23,1760,5,3.0
65,730,23,2638,5,2.0
66,4384,1,3612,5,2.0
67,1556,3,496,4,2.0
68,5092,37,701,5,3.0
69,2542,16,3809,5,2.0
70,123,23,2489,4,3.0
71,684,23,2645,5,2.0
72,2477,4,3360,5,2.0
73,3995,5,2261,5,2.0
74,1496,20,1943,4,1.0
75,2661,7,2563,5,2.0
76,2097,4,2259,5,2.0
77,2840,16,1634,5,2.0
78,4055,5,508,5,2.0
79,4019,5,376,5,2.0
80,1459,20,3601,5,2.0
81,4622,1,3078,5,2.0
82,5051,30,9,1,1.0
83,1806,7,161,5,1.0
84,1756,16,3094,5,2.0
85,4489,1,3300,4,2.0
86,820,23,955,5,2.0
87,3294,8,3685,5,2.0
88,3067,11,555,5,2.0
89,2960,4,2474,4,2.0
90,4191,5,164,5,2.0
91,3457,5,366,5,2.0
92,386,23,1108,5,3.0
93,754,23,3771,5,2.0
94,2128,16,1131,5,2.0
95,73,19,1779,5,2.0
96,2010,16,3196,5,2.0
97,408,23,1829,5,2.0
98,1274,20,791,5,3.0
99,1702,6,2098,5,2.0
100,1370,20,1479,5,2.0
101,5089,36,303,5,3.0
102,381,23,3079,5,2.0
103,1130,20,960,5,3.0
104,3231,17,2714,5,2.0
105,1483,20,2035,5,2.0
106,4426,1,3638,5,3.0
107,3665,5,1805,5,2.0
108,3293,8,3692,5,2.0
109,2142,4,466,5,1.0
110,4576,1,3614,5,2.0
111,3565,5,326,5,2.0
112,941,2,3266,5,2.0
113,942,2,3665,5,2.0
114,943,2,2944,5,2.0
115,944,2,2232,5,2.0
116,765,23,3157,5,3.0
117,489,23,3797,4,2.0
118,1360,20,2563,5,2.0
119,379,23,977,5,2.0
120,1371,20,3750,5,2.0
121,793,23,3019,4,2.0
