reviewId,itemId,userId,rating,testimony
941,2,3266,5,A lazy mans drean when it is combined with Alexa. If you get the harmony hub you can really impress with home automation
942,2,3665,5,I really enjoy my Fire stick. It's really easy to use.
943,2,2944,5,Really cool device! Instantly noticed the difference in quality when I switched from the regular Fire Stick to the Fire TV with 4k.
944,2,2232,5,Love it! Works great. One in each of the main rooms.
765,23,3157,5,"This is a great addition to the other Alexa products by Amazon. It works great in the kitchen. Better voice recognition and sound. The onscreen display and information are very helpful. The video capability is watching instructional videos or even playing music videos while working/cooking. It can also scroll personal photos as a picture display.All in all Echo Show is a wonderful addition. Well worth it, especially if you get it on sale."
489,23,3797,4,It‚Äôs good I don‚Äôt know what I am doing. Can u say you tube
1360,20,2563,5,My wife and I enjoy using Alexa for weather information and also for the great music that we are able to access. We also have the light under the control of Alexa so that we never have to walk into a dark house again.
379,23,977,5,Great product. Use it in the kitchen and can see who is at the front door with it being connected to my ring doorbell.
1371,20,3750,5,Perfect item for any place in your house. Love the speaker and the different features it does.
634,23,3785,4,Nice except unlike a Google Home you can‚Äôt just ask it to play music. You eventually have to purchase their music after s free trial
793,23,3019,4,"Love this product, able to read recipes instead of just hearing them. Speaker is pretty good too."
1479,20,2414,5,The Echo and the plus are great for people not wanting to run wires. And the waterpik was all we wanted
743,23,13,5,The Show is a great little product. It has opened a lot of doors in the world of AI and home automation for me. It connected easily with my echo and dot and now I can stream music all over my house. The picture quality is outstanding. The only drawback is that Alexa doesn't have a very strong internet search engine.
270,23,3516,5,I use it in my office as a personal assistant. Not just for the home
507,23,243,3,It was a cool device but my main issue that it couldn’t play playlists the I had stored on the sonos app. It only played streaming services
3026,11,1589,3,"This product, while the speaker is great, fails to deliver with a voice interface. "
882,23,452,5,The first thing we noticed was Alexa‚Äôs response time to questions. No waiting or downloading just lightning quick responses. 2nd was the compatibility with our smart hone features. She connects to our lights and security monitoring system with ease. She is clear and concise.
3180,11,3748,5,The Amazon tap I like other then I wish you could just say her name and she would respond. Sounds great when playing music
3010,11,2230,5,"I use this hours a day. Whether it is for listening to spotify or turning on a wemo-device, the battery life, sound quality, and voice recognition is great."
172,23,737,4,Not going to lie - we haven‚Äôt even opened it yet. Planning on getting it all setup tomorrow night. I did see it at the store though & it was incredible
1108,20,824,4,"I bought this and an Echo Dot just in case the Dot didn't do everything I needed. The Dot worked fine, so I returned the full-featured Echo Plus."
252,23,1860,3,"I like my Show, but i can't say i love it, for being the priciest piece of my collection of alexa devices, it has probably the worst microphone. Getting it to respond is frustrating at times, where i have no problem with a standard echo. besides this, it all works as advertised. I'd wait for the second generation, i'm sure they can work the kinks out."
1269,20,3480,5,my wife loves alexa it was an early Christmas present
754,23,3771,5,Upgraded from the echo to add video support for my cameras. Sound is much better
123,23,2489,4,"Little putsy so far, but there are continuous updates that I think will make this a great device to stay connected with family. Bought a second for my dad. Who knows, he might replace his land line someday if this gets better. I do think our original Echo is a bit better at responding, but I enjoy this one in the kitchen /aka hub of the house."
1274,20,791,5,"Easy to set up, easy to use apps are awesome and sounds great!"
521,23,3039,3,Only download was very slow and echo show didn‚Äôt make it worth having as a stand alone
1165,20,3680,5,Purchased the echo after hearing it at a neighbors. Good quality speaker for the small size.
1352,20,2370,5,Fun item and helpful to do things around the home.
929,23,1735,5,"Very easy to set up and use. Really like the screen to view the items searched for, and to read information about the searched item."
1515,20,1297,5,Purchased for son for xmas after experiencing the one at my other sons home.
1081,20,3165,4,The Amazon - Echo Plus is good buy it buy it you will love it
1389,20,2616,4,"Product works well, and is fun to use. I did a fair amount of research trying to decide between this product and Google's, and the reviews tend to favor the Echo. I have no complaints."
1036,20,3315,4,Bought one for Living Room and the other for the bedroom. Home wifi needs to be boosted but Alexa would connect through out which caused complications along with Bluetooth speakers. Once straightened out works great.
3003,11,513,5,"I have grown very accustomed to having Alexa around. There are new skills added on a very regular basis. I really enjoy just pressing a button and asking for a song/radio station/podcast to be played. I also enjoy having books read to me, since I'm not much of a reader. The setup was super simple, so simple that I wasn't sure that I was all ready to go with such minimal effort. The battery life is very long and the speaker suits me just fine. I feel that there is a bright future for the Tap and I am going to enjoy trying more things that this gadget has to offer. I'm not sure I ""needed"" this item, but I can't imagine not having it around now. So pleased with this purchase."
1244,20,3608,5,Sound quality is very good & Sleek design is nice.
849,23,1760,5,"We loved the Echo Dot, but the Show is exponentially better. Especially love to see the words of the songs being played, and views of places all over the world we want to see. Big difference in cost between dot and show, but worth it!"
1083,20,3199,5,We purchased 3 of the Eco Plus and out two adult children really like their Eco Plus. They are having a lot of fun with it we are still learning
922,23,3522,5,"Love having this in my kitchen. Play music, ask questions, make list, set timers, etc."
321,23,1022,5,"Was recommended to me, and we love it, use for music, timer in the kitchen, great recipes, and love the question of the day, only have had for 2 weeks can‚Äôt wait to explore more!"
408,23,1829,5,Great accessory for Alexis system..helpful and fun
604,23,1689,5,I am so happy with this product. It is so helpful to use st any time of the day. I.can do things while I am lying in bed definitely recommend this product
1421,20,278,5,We are so happy with our Alexa! We are very technologically challenged but she‚Äôs been great!
991,20,2476,4,I love Alexa although sometimes she has a hard time understanding so I find myself repeating commands such as ‚ÄúAlexa turn off lights in bedroom‚Äù . Overall she‚Äôs amazing and she tells jokes and very up to date with current events
983,20,356,5,"bought this as a present for the wife, but as I relaxed for the holiday requested six hours of different song play. The wife enjoyed the music as the music emanated through the open areas of our house. The wife received information on measures for recipes, weather updates, etc. this will be one of those classic gifts."
631,23,2600,3,"The sound quality is good,Alexa responds to commands but their is room for improvement"
531,23,2218,5,A step up from last year's Echo. Great addition to any part of the room.
1268,20,771,5,Definitely worth the money. The sound is awesome!!
658,23,1797,4,"Yes, it’s a little glitchy sometimes. But so useful and fun! I’m hoping that over time Amazon will continue to improve on the errors in Alexa. When contacting customer service, it doesn‚Äôt seem like Amazon is very interested in learning the problems that need fixing though."
841,23,1303,5,I bought this device for my wife and she loves it. Plays videos for cooking. 1 on gift list. For sure.
623,23,1160,5,I love my echo show. Screen is so clear and sound is so high quality.
1218,20,3249,5,great sound. Love the music and the electrical devices you can work with it.
323,23,701,5,"Love it so much! Have been using it every day...news, YouTube videos... buying more smart home products to make good use of Alexa."
866,23,3346,3,"We wanted to see how this would work and it's not super accurate, but kind of fun"
288,23,118,5,This product is super easy to use and the sound quality is terrific. I use it every day! The easy of use is also appreciated!
1216,20,579,5,"This is great for inquisitive minds. Alexa plays music, turns the light on, answers questions and so much more."
1519,20,2723,4,"The speaker is an improvement over the Echo Dot, set up was easy and connecting additional home automation products to it as we acquire them has been a simple process. Works as advertised! Have not really had a need for the HUB part yet though."
615,23,2539,5,"The echo show is great, works awesome together with my wink hub I can controle my whole house, another cool feature is I can sync my google calender to it and it shows my. upcoming events on the screen. Highly recommend the echo."
1177,20,1414,4,"Speaker has great sound and it’s awsome that it syncs with other speakers to really fill your house with sound. The smart lights I wasnt too sure of, but since I‚Äôve installed it I want to get more. It‚Äôs a great smarthome hub."
608,23,2817,5,"Between this product and Siri, AlexaIs much more useful and reliable. It controls many things in my home and is very dependable. Only one problem... commercials activate Alexa when it hears them."
701,23,68,5,I love my Echo Show! Easy to set up! And fun to use!!
232,23,2095,5,"It's a lot of fun. To fully enjoy it, we had to get Amazon music unlimited. We bought four of them, so we can keep in touch with family. Alexa is very entertaining!"
930,23,785,5,I recommended is very good and practice. Play music is very good quality speaker I see video. I love
1370,20,1479,5,No issues perfect works as advertised........................
3035,11,1556,5,Love the tap. The speaker is nice. Likenit has a charging cradle it can sit on. Easy charge.
713,23,3769,5,Nice to have .good thing to used love to . Would tell people about
498,23,75,5,I love my Echo Show. It is easy to use and being an Amazon Prime member I can play all my songs. I cook dinner listening to music. I also linked my SiriusXM to it so i can listen to my favorite music. It is so easy to use my 80 year old mother wantwd one.
1279,20,629,5,Love the concept and how I can make my whole house a smart house.
610,23,2166,4,"Wish the angle was adjustable. When this is sitting on a table or counter it is angled up and the further away from it you sit, the less likely it will see you in its view when trying to call someone. Love the Sirus XM update to play through this though. The speaker seems louder and better than the regular Echo, but that is just my thought. If you were able to get two for price of one, this is a deal worth taking."
899,23,2373,5,The Echo show with video screen is a nice upgrade to the other echos. News briefs with videos are nice. Very good sound quality for playing music.
